type,space,price,area_price,address,metro,subtitle,date,source
Квартира-студия,23,4 239 066₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_238_m_1621_et._7406265703?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
3-к. квартира,105,27 273 100₽,,"наб. Октябрьская, д. 42","Улица Дыбенко ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1052_m_223_et._7406040062?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,20,3 659 760₽,,"None, None","Гражданский проспект ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_204_m_1525_et._7886066012?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
3-к. квартира,72,21 492 598₽,,"None, None","Ладожская ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_728_m_310_et._7406654686?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,48,14 808 808₽,,"None, None","Юго-Западная ,6–10 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_486_m_723_et._7406578028?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,19,7 780 362₽,,"None, None","Приморская ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_191_m_1317_et._7271107803?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,54,20 509 310₽,,"None, None","Приморская ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_541_m_812_et._7941040867?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. апартаменты,36,6 846 907₽,,"None, None","Улица Дыбенко ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_361_m_311_et._2488386636?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,21,6 000 000₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_215_m_24_et._7848082512?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,27,6 490 000₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_273_m_44_et._7878690609?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. квартира,32,12 300 000₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_326_m_712_et._7883069147?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. квартира,37,15 919 238₽,,"ул. Егорова, д. 23б, лит. А","Фрунзенская ,11–15 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_376_m_211_et._7406120922?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. квартира,38,13 576 280₽,,"None, None","Волковская ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_382_m_612_et._7941441109?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,25 м²,4 294 100₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_25_m_216_et._7758791758?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Апартаменты-студия,23,11 463 967₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg_sestroretsk/kvartiry/apartamenty-studiya_236_m_35_et._4156365195?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. квартира,33,6 300 000₽,,"ул. Софьи Ковалевской, 11к6","Академическая ,16–20 мин.",,8 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_335_m_59_et._7990972409?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,26,8 092 652₽,,"None, None","Юго-Западная ,6–10 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_268_m_1523_et._7406391046?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,21,5 520 046₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_217_m_34_et._7406086379?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,53 м²,8 957 212₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_53_m_421_et._7534170968?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
