type,space,price,area_price,address,metro,time_to_metro,subtitle,date,source
1-к. квартира,42,6 191 653₽,147 070 ₽ за м²,,,,"1-комнатная квартира площадью 42.06 в ЖК «А101 Лаголово» на 13 этаже. Квартира без отделки. Вид из окна на улицу. Высота потолков 2.84 м.

Отделка.
Квартира передается без отделки. Благодаря тому, что в данном типе отделки стены не возводятся, вы сможете создать удобную планировку и самостоятельно организовать зонирование комнат.

Парадная.
В каждой парадной предусмотрены места для хранения велосипедов и колясок, гостевой санузел и удобная зона ожидания для гостей.

Дворы И Окружение.
Просторные...",,https://www.avito.ru/sankt-peterburg_krasnoye_selo/kvartiry/1-k._kvartira_421_m_1313_et._7976977241?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
1-к. квартира,41,12 428 804₽,302 404 ₽ за м²,,Купчино,16–20 мин.,"Просторная квартира 41.1 м² в ЖК «Антверпен» от Л1 у м. Купчино.
Предлагаем уютную и светлую однокомнатную квартиру 41.1 м² в современном жилом комплексе бизнес-класса «Антверпен» от застройщика L1. Дом расположен в престижном Фрунзенском районе, на пересечении Купчинской улицы и улицы Олега Дундича, всего 10 минут пешком от станции метро «Купчино» и 15 минут от «Дунайской».

Выгодное расположение:

— Быстрый выезд на Кад и Зсд — удобно для автомобилистов.

— Близость к ключевым транспортным арт...",,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_411_m_413_et._7504208266?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
1-к. апартаменты,48 м²,15 000 000₽,312 500 ₽ за м²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,"Пpoдaются двухуpовневые Апарtаmенtы c дизaйнepcкой oтдeлкoй в пpeмиальном комплексe «Serеbrо by Avenue-apаrt».

Oбщая площaдь: 48 м2 (нa плaне помeщeниe 101 H).

Плoщадь кухни-гоcтинoй: 26,8 м2.

Плoщaдь комнаты: 13,3 м2.

Плoщaдь c/у: 7,9 м2.

Выcота пoтoлков 4,6 м.

Апартамeнты c новым качeственным peмонтом!

Стaтус: Нeжилое помещение, Отдельный кадастровый номер, не доли!).

Преимущества:

- Роскошное лобби для приема гостей 145м3.

- Круглосуточный консъерж-сервис, сервис клининга, доставка ...",24 января 2024,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_48_m_26_et._3644499619?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
1-к. апартаменты,35,6 793 990₽,191 380 ₽ за м²,,Улица Дыбенко,21–30 мин.,"Цена со скидкой до 30% в прямой продаже от застройщика — только в этом месяце. На апартаменты действует беспроцентная рассрочка. Роскошные виды на Неву. 1-к апартамент в комплексе класса бизнес-лайт Zoom на Неве на 9-м этаже. Общая площадь 35,5. Без отделки.

Zoom на Неве расположен в новом месте силы рядом с центром города на первой линии Октябрьской набережной в Невском районе, всего в 7 км от исторической части Санкт-Петербурга. Большой выбор эргономичных и максимально продуманных планировок ...",,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_355_m_911_et._2487996133?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
1-к. квартира,34,18 552 520₽,536 200 ₽ за м²,"пр-т Лермонтовский, стр. 1",Балтийская,6–10 мин.,"Продаётся 1-комн. Квартира площадью 34.60 кв. М на 3 этаже 7 этажного дома (Корпус 1, секция 1) проекта ПИК Лермонтовский 54. Светлый просторный подъезд на уровне земли, функциональная планировка, большие окна, с отделкой.

«Лермонтовский 54» находится в центре Санкт-Петербурга на набережной Обводного канала, в 5 минутах пешком от метро «Балтийская». Здесь будут квартиры с окнами в пол, высокими потолками и террасами.

Жилой квартал находится в центре Санкт-Петербурга, в Адмиралтейском районе, н...",,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_346_m_37_et._7941883232?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
1-к. квартира,31,5 300 000₽,168 254 ₽ за м²,"пос. Шушары, Новгородский пр-т, 10",Купчино,от 31 мин.,"Продаётся уютная однокомнатная квартира в ЖК «Волна».

Светлая и просторная однокомнатная квартира с косметическим ремонтом — идеальный вариант для молодой семьи, студента или тех, кто ищет жильё для сдачи в аренду.

О квартире:
уютная комната;
функциональная кухня;
совмещённый санузел;
застеклённый балкон — дополнительное пространство для отдыха или хранения.

Дом построен в 2015 году по монолитной технологии — это гарантирует надёжность, хорошую звуко‑ и теплоизоляцию.

Преимущества жилого ком...",Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_315_m_1324_et._7939218797?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
Квартира-студия,27,12 437 568₽,457 264 ₽ за м²,,Петроградская,11–15 мин.,"Клубный квартал iD Petrogradskaya расположен в одном из самых престижных мест для жизни в Петербурге, между улицей профессора Попова и набережной реки Карповка.",,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_272_m_26_et._7506208550?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
2-к. апартаменты,110,22 924 520₽,206 900 ₽ за м²,"ш. Московское, д. 3, лит. 3",Звёздная,11–15 мин.,"Цена действует при 100% оплате и на определенные ипотечные программы.
Подробности — в отделе продаж по телефону.

Продаются 2-комнатные апартаменты с террасой в ЖК «Neоpark» на 2 этаже. Общая площадь cocтaвляет 110.80 кв. М. Апартаменты без отделки. Жилой комплeкc «Neоpark» располaгаeтся пo адpecу Mocкoвcкoe шоссe, д. 3, лит. З.

Формат апартаментов — это ваше выгодное приобретение!

Комплекс апартаментов Neopark ориентирован на клиентов, которые ценят комфортное проживание, удобную локацию и оп...",,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._apartamenty_1108_m_212_et._7406820372?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
1-к. квартира,31,6 150 000₽,197 749 ₽ за м²,"ул. Софьи Ковалевской, 4",Академическая,6–10 мин.,"В продаже однокомнатная квартира возле Муринского парка.

Показ Квартиры С 28 Февраля.

О квартире:
Общая площадь 31,1 м2.
Жилая площадь 15,6 м2.
Потолки 2,7.
Окна выходят во двор.
Большая зона прихожей.
Раздельный с/у.

О локации:
Метро «Академическая » в 10 минутах пешком.
Муринский парк и сад Прометей в шаговой доступности.
Магазины, рестораны, кафе, фитнес центры, аптеки — в пешей доступности.

Один собственник, без обременений, полная стоимость в договоре.

Звоните, с радостью ответим на Ва...",1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_311_m_29_et._7961401155?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
Квартира-студия,25 м²,6 560 000₽,262 400 ₽ за м²,"Галерная ул., 53",Василеостровская,16–20 мин.,"В продаже: Квартира — студия в сердце Петербурга: Ваш личный уголок для жизни или источник дохода под 13% годовых.

Уникальное пространство в историческом доме. Для тех, кто хочет жить в атмосфере старого города или получать стабильный пассивный доход.

Хотите узнать, сколько будет приносить Ваша будущая студия?

Напишите «Доход» в чат Авито, и мы вышлем вам полный расчет!

Идеально для жизни вас или вашего ребенка:

Для студента: Пешая доступность к ведущим вузам. Независимость и безопасность в...",3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_25_m_24_et._7991046405?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqQUl0SHhENTVaQU9ZZUE2Ijt9IPMMnD8AAAA
