type,space,price,area_price,address,metro,time_to_metro,date,source
2-к. квартира,72,19 150 000₽,265235²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,19 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_722_m_26_et._7771553054?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,81 м²,16 000 000₽,197531²,"городской пос. Новоселье, Питерский пр-т, 1",,,24 апреля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_81_m_59_et._7330546422?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,34 м²,5 500 000₽,161765²,,,,3 недели назад,https://www.avito.ru/sankt-peterburg_kolpino/kvartiry/1-k._kvartira_34_m_114_et._7906471889?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Своб. планировка,211 м²,11 990 000₽,56825²,,Рыбацкое,от 31 мин.,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/svob._planirovka_211_m_13_et._7910437238?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,72,12 000 000₽,165517²,"пр-т Маршала Жукова, 18Г",Юго-Западная,6–10 мин.,3 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_725_m_516_et._7633072004?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,36 м²,10 200 000₽,283333²,"Опочинина ул., 27",Горный институт,16–20 мин.,4 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36_m_66_et._7672833901?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,106,68 500 000₽,641386²,"Лодейнопольская ул., 7",Чкаловская,6–10 мин.,24 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1068_m_89_et._7817197135?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,100,41 800 000₽,415920²,"Измайловский б-р, 9",Балтийская,11–15 мин.,20 января 21:26,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1005_m_1618_et._7897080491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Квартира-студия,24,5 250 000₽,213415²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246_m_25_et._7900581799?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
Апартаменты-студия,27,6 800 000₽,245487²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_277_m_724_et._7879852174?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
