type,space,price,area_price,address,metro,subtitle,date,source
Квартира-студия,23,9 990 000₽,,"Гродненский пер., 12-14","Чернышевская ,до 5 мин.",,10 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_235_m_25_et._7876971320?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Своб. планировка,69,25 950 000₽,,"Мебельная ул., 49/92","Беговая ,11–15 мин.",,31 июля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/svob._planirovka_693_m_1423_et._7535283964?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Своб. планировка,64 м²,17 900 000₽,,"Московский пр-т, 195","Московская ,до 5 мин.",,11 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/svob._planirovka_64_m_27_et._7851216798?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,19,8 100 000₽,,"Шпалерная ул., 28","Площадь Ленина ,11–15 мин.",,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_193_m_24_et._7941850139?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
6-к. квартира,217 м²,58 800 000₽,,"Большая Монетная ул., 9А","Горьковская ,6–10 мин.",,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/6-k._kvartira_217_m_56_et._7896307933?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,25,10 600 000₽,,"Большая Посадская ул., 4","Горьковская ,до 5 мин.",,17 июня 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_253_m_24_et._7461936261?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
3-к. квартира,73,19 100 000₽,,"Глухарская ул., 30","Комендантский проспект ,от 31 мин.",,30 июля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_739_m_1524_et._7505434521?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,59,16 990 000₽,,"ул. Достоевского, 4","Владимирская ,до 5 мин.",,18 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_595_m_14_et._7704196218?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,27,6 490 000₽,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_273_m_44_et._7878690609?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Апартаменты-студия,29 м²,5 100 000₽,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_29_m_813_et._7973524493?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Апартаменты-студия,21,5 349 999₽,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_214_m_612_et._7801540573?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,30 м²,12 900 000₽,,,"Приморская ,от 31 мин.",,17 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_30_m_615_et._7872017013?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Апартаменты-студия,25,9 990 000₽,,"Херсонский пр., 6","Площадь А. Невского I ,6–10 мин.",,18 августа 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_255_m_310_et._7584392844?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,21,8 900 000₽,,"Сапёрный пер., 23","Чернышевская ,6–10 мин.",,5 января 13:26,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_216_m_45_et._7909492687?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,46,16 990 000₽,,"Лиговский пр-т, 271","Обводный канал ,11–15 мин.",,17 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_465_m_411_et._7730845220?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,37 м²,9 499 999₽,,"ул. Есенина, 1к1","Озерки ,11–15 мин.",,20 июня 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37_m_324_et._7457823139?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
