type,space,price,area_price,address,metro,time_to_metro,date,source
1-к. квартира,29,5 200 000₽,178 082 ₽,"ул. Коллонтай, 47к1",Проспект Большевиков,30,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_292_m_39_et._7999351137?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
2-к. квартира,70,15 200 000₽,216 216 ₽,"Суздальское ш., 18к4",Проспект Просвещения,31,24.01.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_703_m_2324_et._7915542215?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
Квартира-студия,15,4 800 000₽,320 000 ₽,"ул. Рубинштейна, 14",Достоевская,5,06.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_15_m_35_et._7959081352?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
2-к. квартира,65,14 500 000₽,223 077 ₽,"Казанская ул., 41",Садовая,10,08.08.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_65_m_24_et._7577932685?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
1-к. квартира,33,7 600 000₽,228 228 ₽,"пр-т Пятилеток, 6",Проспект Большевиков,5,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_333_m_210_et._7977401911?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
2-к. квартира,52,10 500 000₽,199 241 ₽,"Можайская ул., 13",Пушкинская,10,24.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_527_m_14_et._7928036992?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
1-к. квартира,32,5 500 000₽,169 753 ₽,"ул. Симонова, 12к3",Проспект Просвещения,20,28.01.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_324_m_1015_et._7906772905?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
3-к. квартира,114,28 800 000₽,252 632 ₽,"пр-т Космонавтов, 61к2",Звёздная,15,13.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_114_m_1324_et._8013661467?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
2-к. квартира,53,21 650 000₽,404 673 ₽,"26-я линия Васильевского острова, 7",Горный институт,5,01.09.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_535_m_212_et._7693435996?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
Квартира-студия,24,4 790 000₽,199 583 ₽,"пос. Шушары, Старорусский пр-т, 9",Купчино,31,20.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_24_m_712_et._7910740844?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
1-к. квартира,25,5 900 000₽,229 572 ₽,"ул. Нахимова, 1",Приморская,10,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_257_m_410_et._7911603105?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
1-к. квартира,50,8 900 000₽,178 000 ₽,"Большая Подьяческая ул., 5",Садовая,10,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_50_m_33_et._7889299643?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
Квартира-студия,18,3 000 000₽,166 667 ₽,"1-й Муринский пр-т, 13",Лесная,10,26.01.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_18_m_15_et._7906789036?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
3-к. квартира,72,12 000 000₽,165 517 ₽,"пр-т Маршала Жукова, 18Г",Юго-Западная,10,03.10.2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_725_m_516_et._7633072004?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
Квартира-студия,28,6 800 000₽,236 934 ₽,"пос. Парголово, ул. Архитектора Белова, 6к1",Парнас,15,23.01.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_287_m_2727_et._7905990666?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
Апартаменты-студия,22,3 700 000₽,168 182 ₽,"ул. Куйбышева, 36",Горьковская,15,15.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_22_m_36_et._7877260378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
2-к. квартира,80,18 000 000₽,223 602 ₽,"Каменноостровский пр-т, 65",Петроградская,10,12.09.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_805_m_18_et._7630005070?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
Квартира-студия,26,6 300 000₽,237 736 ₽,"пос. Парголово, ул. Николая Рубцова, 3",Парнас,20,26.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_265_m_526_et._7973779141?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
3-к. квартира,105,38 000 000₽,361 905 ₽,"ул. Курчатова, 6к4",Политехническая,15,04.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_105_m_89_et._7870985897?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
2-к. квартира,48,16 500 000₽,337 423 ₽,"Большой Сампсониевский пр-т, 59",Выборгская,10,24.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_489_m_44_et._7890757990?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSOGpJOFFPZjBBU1BoMmhxIjt9xA8QgT8AAAA
2-к. квартира,80,18 000 000₽,223 602 ₽,"Каменноостровский пр-т, 65",Петроградская,10,12.09.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_805_m_18_et._7630005070?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,48,16 500 000₽,337 423 ₽,"Большой Сампсониевский пр-т, 59",Выборгская,10,24.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_489_m_44_et._7890757990?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
1-к. квартира,36,6 490 000₽,179 282 ₽,"пос. Металлострой, Полевая ул., 9",Рыбацкое,31,26.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_362_m_116_et._7910958074?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
